id,name,country,type,bg,source,owner,score,copy,attach,status,created,updated
O-001,日本关西地区酒店直签,JP,供应链整合,酒旅,,张三,4.2,当地前三大酒店集团寻求 OTA 分销合作，综合得分 4.2，当前作为推进中样本展示。,https://example.com/kansai-hotel-deal,推进中,2026-06-18,2026-07-01
O-002,越南胡志明市开站,VN,OTA业务开展,出行,,李四,3.8,电子签证与政策窗口明确，初评完成后进入推进阶段，综合得分 3.8。,,推进中,2026-06-12,2026-06-28
O-003,泰国本土OTA收购,TH,投并购标的,投资,,,,JV 架构设计完成，估值谈判中，当前以投并购推进样本展示。,,推进中,,
O-004,沙特利雅得开站机会,SA,OTA业务开展,出行,,李四,2.8,政策环境尚未完全明确，当前静态归类为观望中。,,观望中,2026-06-10,2026-06-15
O-005,新加坡区域总部设立,SG,酒店管理,商分,,,,税务优惠方案未敲定，作为暂停样本保留。,,暂停,,
C-001,马来西亚吉隆坡酒店供应链,MY,供应链整合,,,,,三关筛查未通过，作为筛查失败样本展示，未保留任何恢复操作。,,筛查未通过,,
C-002,土耳其安塔利亚度假村项目,TR,酒店管理,,,,2.1,六维初评得分 2.1，未达推进阈值，归入关闭样本。,,初评未通过,,
C-003,韩国首尔并购标的,KR,投并购标的,投资,,王五,1.8,尽调发现重大法律风险与数据合规障碍，项目终止。,,已放弃,2026-05-20,2026-06-22
O-006,印尼雅加达机票分销接入,ID,OTA业务开展,出行,合作伙伴接触,赵六,4.6,与当地头部航司达成 GDS 分销合作，Q2 已完成系统接入并产出首笔订单，作为成功闭环样本展示。,https://example.com/idn-jakarta-gds,已完成,2026-03-15,2026-06-30
O-007,新加坡跨境支付牌照获取,SG,支付金融,金融,市场扫描,钱七,4.0,当地支付监管开放，寻求跨境支付牌照与本地钱包合作，作为支付金融类型演示样本。,https://example.com/sg-pay,推进中,2026-06-20,2026-07-05
O-008,印度SaaS预订系统销售,IN,软件销售,技术,合作伙伴接触,孙八,3.5,面向本地中小酒店输出 SaaS 预订与渠道管理模块，作为软件销售类型演示样本。,,观望中,2026-06-22,2026-07-08
