country_code,country_name,region_name,sub_region_name,official_language,population_value,population_growth_rate,tourism_overview,opportunity_summary,focus_level,headline_metric,map_enabled_flag,display_order,map_x,map_y,gdp_display,currency,inbound_travelers_annual,inbound_spend_cny_annual,outbound_travelers_annual,outbound_spend_cny_annual,domestic_travelers_annual,domestic_spend_cny_annual,flight_spend_cny_annual,flight_growth_rate,hotel_spend_cny_annual,hotel_growth_rate,homestay_spend_cny_annual,homestay_growth_rate,rail_spend_cny_annual,rail_growth_rate,car_rental_spend_cny_annual,car_rental_growth_rate,vacation_spend_cny_annual,vacation_growth_rate,cruise_spend_cny_annual,cruise_growth_rate
US,美国,北美,北美成熟市场,英语,341000000,0.53,入境与本地休闲消费双支撑，航空与主题娱乐带动高频旅游支出。,高客单定制游、主题度假与目的地内容合作空间大。,核心,2025年国际访客消费预计继续恢复至疫前上方,TRUE,1,,,30.77万亿美元,USD,123456,123456,123456,123456,123456,123456,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%
JP,日本,东北亚,东北亚成熟市场,日语,123900000,-0.44,入境复苏强劲，地方旅游、会展及内容型出行持续活跃。,目的地联营产品、二三线城市深度游和会奖旅行有增长空间。,重点,入境消费保持高位，区域机场带动下沉目的地增长,TRUE,2,,,4.44万亿美元,JPY,123456,123456,123456,123456,123456,123456,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%
AE,阿联酋,中东,海湾市场,阿拉伯语,10680000,0.97,迪拜和阿布扎比持续强化中转、会展和奢旅目的地属性。,高净值客群服务、商旅会展配套及跨境流量合作值得跟进。,重点,大型会展和航司联动推动全年国际旅客保持高位,TRUE,3,,,5523.25亿美元,AED,123456,123456,123456,123456,123456,123456,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%
FR,法国,欧洲,西欧成熟市场,法语,68400000,0.21,巴黎及核心旅游带稳定吸引长线游客，文化和赛事型出游带动增量。,文化目的地产品、城市通票整合和品牌联名玩法具备空间。,观察,大型活动后续效应仍在释放，城市旅游韧性较强,TRUE,4,,,3.37万亿美元,EUR,123456,123456,123456,123456,123456,123456,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%
BR,巴西,拉美,拉美增长市场,葡萄牙语,203100000,0.52,国内旅游和节庆活动带动区域型消费，跨境合作需求增加。,区域分销合作、海岛及节庆线路、拉美多国联游存在机会。,观察,本地节庆带动旅游热度，区域互联航线持续增加,TRUE,5,,,2.28万亿美元,BRL,123456,123456,123456,123456,123456,123456,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%
SG,新加坡,东南亚,东南亚枢纽市场,英语,5920000,1.21,航旅枢纽、会展和家庭游产品供给成熟，适合做区域协同。,区域中转产品、主题娱乐、会奖旅行业务延展性强。,重点,樟宜枢纽和会展经济持续拉动高价值旅客流入,TRUE,6,,,6038.70亿美元,SGD,123456,123456,123456,123456,123456,123456,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%
CN,中国,东北亚,东北亚核心市场,中文,1408000000,-0.1,超大内需市场、城市群短途出行与入出境政策优化共同支撑旅游供给重构。,适合通过 ITB China 连接入境采购商与驻华采购团队，拓展赴华与出境游合作。,重点,ITB China 聚焦中国入出境 B2B 买家，适合作为中国市场合作入口,TRUE,7,,,19.50万亿美元,CNY,123456,123456,123456,123456,123456,123456,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%
GB,英国,欧洲,西欧成熟市场,英语,69200000,0.35,伦敦持续聚合全球旅游采购、会展与技术服务资源，是欧洲分销与合作洽谈的重要门户。,适合借助 WTM London 和 TravelTech Show 双展期建立 Bedbank、TO 与 TravelTech 合作入口。,核心,全年拥有两次高密度 B2B 对接窗口，适合作为欧洲市场拓展节点,TRUE,8,,,4.00万亿美元,GBP,123456,123456,123456,123456,123456,123456,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%
DE,德国,欧洲,中欧会展市场,德语,84500000,-0.03,商务出行、展会经济与欧洲跨境交通网络共同支撑旅游采购活跃度，柏林是全球旅业资源密集节点。,适合围绕 ITB Berlin 集中触达 OTA、Bedbank、GDS 与 API 整合商。,核心,ITB Berlin 仍是全球旅游科技与分销合作的最高密度窗口,TRUE,9,,,5.05万亿美元,EUR,123456,123456,123456,123456,123456,123456,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%
ES,西班牙,欧洲,南欧旅游枢纽,西班牙语,49000000,0.08,休闲度假、海岛产品与拉美连接优势显著，南欧旅游批发与酒店分销生态活跃。,适合通过 FITUR 切入南欧与拉美批发网络，推进目的地联营与酒店分销合作。,重点,马德里 FITUR 是连接南欧与拉美买家的核心入口,TRUE,10,,,1.91万亿美元,EUR,123456,123456,123456,123456,123456,123456,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%,123456,12.34%
