bp_code,display_order,attachment_name,attachment_url
BP-2026-001,1,日本关西酒店直签商业计划书V1,https://example.com/files/bp-2026-001-v1.pdf
BP-2026-001,2,关西核心商圈酒店签约清单,https://example.com/files/bp-2026-001-hotel-list.xlsx
BP-2026-001,3,关西市场测算附件,https://example.com/files/bp-2026-001-market-model.xlsx
BP-2026-002,1,胡志明市开站商业计划书V2,https://example.com/files/bp-2026-002-v2.pdf
BP-2026-002,2,越南站点合规清单,https://example.com/files/bp-2026-002-compliance.xlsx
BP-2026-002,3,胡志明酒店与民宿接入池,https://example.com/files/bp-2026-002-supply.xlsx
BP-2026-003,1,泰国本土 OTA 收购备忘录,https://example.com/files/bp-2026-003-memo.pdf
BP-2026-003,2,JV 架构条款清单,https://example.com/files/bp-2026-003-jv-terms.xlsx
BP-2026-003,3,并表协同收益测算,https://example.com/files/bp-2026-003-synergy-model.xlsx
BP-2026-004,1,曼谷酒店直签收尾报告,https://example.com/files/bp-2026-004-report.pdf
BP-2026-004,2,曼谷直签 SOP 模板,https://example.com/files/bp-2026-004-sop.docx
BP-2026-005,1,圣保罗联营 BP 草稿版,https://example.com/files/bp-2026-005-draft.pdf
BP-2026-005,2,机场接送与酒店合作清单,https://example.com/files/bp-2026-005-partners.xlsx
